omp_num_threads,time,elements,total,technique
"2","0.022","10000","1.644834","sum"
"2","0.048","10000","1.644834","sumOmp"
"2","0.224","100000","1.644924","sum"
"2","0.256","100000","1.644924","sumOmp"
"2","1.515","1000000","1.644933","sum"
"2","1.106","1000000","1.644933","sumOmp"
"2","14.215","10000000","1.644934","sum"
"2","9.729","10000000","1.644934","sumOmp"
"2","143.689","100000000","1.644934","sum"
"2","79.35","100000000","1.644934","sumOmp"
"2","1436.309","1000000000","1.644934","sum"
"2","771.511","1000000000","1.644934","sumOmp"
"4","0.05","10000","1.644834","sum"
"4","0.096","10000","1.644834","sumOmp"
"4","0.252","100000","1.644924","sum"
"4","0.132","100000","1.644924","sumOmp"
"4","1.689","1000000","1.644933","sum"
"4","0.612","1000000","1.644933","sumOmp"
"4","14.266","10000000","1.644934","sum"
"4","6.002","10000000","1.644934","sumOmp"
"4","143.64","100000000","1.644934","sum"
"4","43.818","100000000","1.644934","sumOmp"
"4","1539.431","1000000000","1.644934","sum"
"4","386.245","1000000000","1.644934","sumOmp"
"8","0.05","10000","1.644834","sum"
"8","0.132","10000","1.644834","sumOmp"
"8","0.252","100000","1.644924","sum"
"8","0.07","100000","1.644924","sumOmp"
"8","1.759","1000000","1.644933","sum"
"8","0.265","1000000","1.644933","sumOmp"
"8","14.266","10000000","1.644934","sum"
"8","4.356","10000000","1.644934","sumOmp"
"8","143.861","100000000","1.644934","sum"
"8","22.919","100000000","1.644934","sumOmp"
"8","1436.367","1000000000","1.644934","sum"
"8","211.635","1000000000","1.644934","sumOmp"
"16","0.05","10000","1.644834","sum"
"16","0.218","10000","1.644834","sumOmp"
"16","0.422","100000","1.644924","sum"
"16","0.054","100000","1.644924","sumOmp"
"16","1.861","1000000","1.644933","sum"
"16","0.154","1000000","1.644933","sumOmp"
"16","14.391","10000000","1.644934","sum"
"16","2.914","10000000","1.644934","sumOmp"
"16","145.927","100000000","1.644934","sum"
"16","15.84","100000000","1.644934","sumOmp"
"16","1441.444","1000000000","1.644934","sum"
"16","147.909","1000000000","1.644934","sumOmp"
"28","0.05","10000","1.644834","sum"
"28","0.399","10000","1.644834","sumOmp"
"28","0.392","100000","1.644924","sum"
"28","0.049","100000","1.644924","sumOmp"
"28","1.859","1000000","1.644933","sum"
"28","0.119","1000000","1.644933","sumOmp"
"28","17.26","10000000","1.644934","sum"
"28","1.955","10000000","1.644934","sumOmp"
"28","171.615","100000000","1.644934","sum"
"28","15.95","100000000","1.644934","sumOmp"
"28","1437.252","1000000000","1.644934","sum"
"28","149.391","1000000000","1.644934","sumOmp"
"32","0.016","10000","1.644834","sum"
"32","0.189","10000","1.644834","sumOmp"
"32","0.169","100000","1.644924","sum"
"32","0.045","100000","1.644924","sumOmp"
"32","1.691","1000000","1.644933","sum"
"32","0.119","1000000","1.644933","sumOmp"
"32","16.543","10000000","1.644934","sum"
"32","1.771","10000000","1.644934","sumOmp"
"32","153.9","100000000","1.644934","sum"
"32","14.879","100000000","1.644934","sumOmp"
"32","1441.138","1000000000","1.644934","sum"
"32","150.866","1000000000","1.644934","sumOmp"
"48","0.05","10000","1.644834","sum"
"48","19.433","10000","1.644834","sumOmp"
"48","0.169","100000","1.644924","sum"
"48","0.035","100000","1.644924","sumOmp"
"48","1.684","1000000","1.644933","sum"
"48","0.089","1000000","1.644933","sumOmp"
"48","17.138","10000000","1.644934","sum"
"48","1.443","10000000","1.644934","sumOmp"
"48","153.407","100000000","1.644934","sum"
"48","16.031","100000000","1.644934","sumOmp"
"48","1437.537","1000000000","1.644934","sum"
"48","156.583","1000000000","1.644934","sumOmp"
